komentar,komentar_with_tags,sentimen llm
"Calon Calon Panglima TNI, Kapolri, Kasad, Kasal, kasau Di Masa Mendatang... Terus berjuang Taruna Taruna Lembah Tidar💪💪💪👍","Calon Calon Panglima TNI, Kapolri, Kasad, Kasal, kasau Di Masa Mendatang... Terus berjuang Taruna Taruna Lembah Tidar<Otot Lengan Kuat><Otot Lengan Kuat><Otot Lengan Kuat><Jempol Ke Atas>",netral
"Jiworoso memberi salam ,,,,,semoga  jaya..🙏🙏🙏","Jiworoso memberi salam ,,,,,semoga  jaya..<Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa>",netral
Mantaappp 👍👍👍👍,Mantaappp <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
Turut berduka cita sedalam - dalamnya🙏🏻🙏🏻,Turut berduka cita sedalam - dalamnya<Tangan Merapat Berdoa>🏻<Tangan Merapat Berdoa>🏻,netral
Semoga keluarga yg di tinggal diberi kekuatan 😭😭,Semoga keluarga yg di tinggal diberi kekuatan <Wajah Menangis Kencang><Wajah Menangis Kencang>,negatif
Subhanallah... 😭,Subhanallah... <Wajah Menangis Kencang>,negatif
TOP👍👍Respect all😇😇🤝💪💪✊✊🙏🙏🇮🇩,TOP<Jempol Ke Atas><Jempol Ke Atas>Respect all<Wajah Tersenyum Malaikat><Wajah Tersenyum Malaikat><Berjabat Tangan><Otot Lengan Kuat><Otot Lengan Kuat><Kepalan Tangan Kejayaan><Kepalan Tangan Kejayaan><Tangan Merapat Berdoa><Tangan Merapat Berdoa>🇮🇩,negatif
"1 kata 
Orang tua pedagang
Anak pejuang
Bravo TNI selalu di hati❤❤❤","1 kata 
Orang tua pedagang
Anak pejuang
Bravo TNI selalu di hati<Hati Merah><Hati Merah><Hati Merah>",netral
Masya Allah terharu q😂😂😂,Masya Allah terharu q<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
Brapo TNI jadi kebanggan keluarga💪💪💪,Brapo TNI jadi kebanggan keluarga<Otot Lengan Kuat><Otot Lengan Kuat><Otot Lengan Kuat>,negatif
Sangat terharu😂 cita2ku gak terlaksana pdhl q pingin skl jd TNI,Sangat terharu<Wajah Menangis Gembira> cita2ku gak terlaksana pdhl q pingin skl jd TNI,netral
BravOo  Kwaan 😊😊,BravOo  Kwaan <Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
​ @waldiyono7254 setuju😢😢😢😢😢,​ @waldiyono7254 setuju<Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis>,netral
Ya ALLAH😢😢😢👐👐😊,Ya ALLAH<Wajah Menangis><Wajah Menangis><Wajah Menangis>👐👐<Wajah Tersenyum Dengan Mata Tersenyum>,negatif
😮keren GOOD job,<Wajah Terperangah Terbuka>keren GOOD job,negatif
🥺🥺🥺🥺🥺🥺🥺🥺🥹🥹🥹🥹🥹🥹🥹😭😭😭😭😭😭😭😭😭,🥺🥺🥺🥺🥺🥺🥺🥺🥹🥹🥹🥹🥹🥹🥹<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>,negatif
Kenapa ibunya didiemin bang.....😊,Kenapa ibunya didiemin bang.....<Wajah Tersenyum Dengan Mata Tersenyum>,positif
Amin ya rabbal alamin 🙏,Amin ya rabbal alamin <Tangan Merapat Berdoa>,negatif
TNI pancen idola ku ❤️,TNI pancen idola ku <Hati Merah>️,negatif
Terharu 😂😂😂😂😢😢,Terharu <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis><Wajah Menangis>,negatif
Iya bro.. Nangis gua 😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Iya bro.. Nangis gua <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>,positif
Great❤❤❤❤❤,Great<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>,negatif
tdk ada yg tdk menetes air mata😢,tdk ada yg tdk menetes air mata<Wajah Menangis>,netral
"saya mewakili ibu'x yg lain mengucapkan banyak"" trima kasih dgn program ini,, hati saya tersentuh dgn ungkapan wisudawan  ank tersebut,, sehat trs bpk,, kmi selalu mendoakan bpk semoga Tuhan selalu melindungi bpk ,, aamiinn❤❤❤❤❤","saya mewakili ibu'x yg lain mengucapkan banyak"" trima kasih dgn program ini,, hati saya tersentuh dgn ungkapan wisudawan  ank tersebut,, sehat trs bpk,, kmi selalu mendoakan bpk semoga Tuhan selalu melindungi bpk ,, aamiinn<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>",negatif
Sht sll BPK Prabowo ❤❤❤ trm ksh Bpk,Sht sll BPK Prabowo <Hati Merah><Hati Merah><Hati Merah> trm ksh Bpk,netral
Teruslah Berjuang Nak..Tuhan Memberkati slalu..!Amiiin..🙏🙏🙏❤❤❤,Teruslah Berjuang Nak..Tuhan Memberkati slalu..!Amiiin..<Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa><Hati Merah><Hati Merah><Hati Merah>,negatif
Aku jadi ikut mewek juga😢😢😢 semoga beasiswa ini terus berlanjut,Aku jadi ikut mewek juga<Wajah Menangis><Wajah Menangis><Wajah Menangis> semoga beasiswa ini terus berlanjut,negatif
Terharu dan bangga. ❤,Terharu dan bangga. <Hati Merah>,negatif
"Allhamdulilah hirobil alamin,terimakasih untuk Bpk peresiden dan Bpk Mentri pendidikan,yg SDH membantu anak"" bangsa kt yg SDH sukses menyelesaikan pendidikanx dgn baik JD seorang sarjana,biar bangsa kt ini bs maju terus dan sukses,rakyat adildan makmur.biar indonesia TDK di remehkan oleh negara"" luar.✊🙏🤲🤲🫡🫰","Allhamdulilah hirobil alamin,terimakasih untuk Bpk peresiden dan Bpk Mentri pendidikan,yg SDH membantu anak"" bangsa kt yg SDH sukses menyelesaikan pendidikanx dgn baik JD seorang sarjana,biar bangsa kt ini bs maju terus dan sukses,rakyat adildan makmur.biar indonesia TDK di remehkan oleh negara"" luar.<Kepalan Tangan Kejayaan><Tangan Merapat Berdoa>🤲🤲🫡🫰",negatif
😭😭😭 tangis bahagia utkmu sayang dr seorang ibu walaupun kit tdk pernah kenal..angkat derajat keluagamu nak,<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang> tangis bahagia utkmu sayang dr seorang ibu walaupun kit tdk pernah kenal..angkat derajat keluagamu nak,negatif
Sangat menyentuh hati ❤,Sangat menyentuh hati <Hati Merah>,negatif
Semoga sukses dokter muda👍👍👍❤️,Semoga sukses dokter muda<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Hati Merah>️,negatif
"Alhamdulillah  kelak anakku  Annisa JAY bs pidato di mimbar ini, Aamiin YRA..❤❤❤","Alhamdulillah  kelak anakku  Annisa JAY bs pidato di mimbar ini, Aamiin YRA..<Hati Merah><Hati Merah><Hati Merah>",netral
begini lah para pemimpin yg kami ingin untuk Indonesia sejahtra.para pemimpin yg langsung mendengarkan langsung keluh kesah rakyat nya. Dan langsung meberi solusi dan membantu langsung❤❤❤ semoga dua periode pak prabowo. Agar di bawah komando bapak. Dapat. Melhir kn pemimpin daerah yg hebat dan benar benr merakyat tampa pandang suku ❤,begini lah para pemimpin yg kami ingin untuk Indonesia sejahtra.para pemimpin yg langsung mendengarkan langsung keluh kesah rakyat nya. Dan langsung meberi solusi dan membantu langsung<Hati Merah><Hati Merah><Hati Merah> semoga dua periode pak prabowo. Agar di bawah komando bapak. Dapat. Melhir kn pemimpin daerah yg hebat dan benar benr merakyat tampa pandang suku <Hati Merah>,negatif
Maka jangan hanya omonomon doang tunjukkan karyamu untuk negara seperti pak prabowo tercinta semoga allah memanjangkan umurnya dan kesehatan lahir batin ❤❤❤❤❤ ❤❤ nkri hebat,Maka jangan hanya omonomon doang tunjukkan karyamu untuk negara seperti pak prabowo tercinta semoga allah memanjangkan umurnya dan kesehatan lahir batin <Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah> <Hati Merah><Hati Merah> nkri hebat,negatif
Trimakasih Tuhan anak mu ini sdh berhasil TYM ❤,Trimakasih Tuhan anak mu ini sdh berhasil TYM <Hati Merah>,negatif
Tanyangan ini mengandung bawang😢,Tanyangan ini mengandung bawang<Wajah Menangis>,netral
"Sukses kedepannya ya nak semoga tercapai cita"" mu untuk mendapat pekerjaan mu sesuai dngn kesarjanaan kedokteran mu. Tetap semangat ya🙏","Sukses kedepannya ya nak semoga tercapai cita"" mu untuk mendapat pekerjaan mu sesuai dngn kesarjanaan kedokteran mu. Tetap semangat ya<Tangan Merapat Berdoa>",negatif
"Blm gw tonton sampe abis Vidio nya, gk tahan takut nangis😢","Blm gw tonton sampe abis Vidio nya, gk tahan takut nangis<Wajah Menangis>",positif
"Timah kasih untuk kisah nyata hidup yg di sampaikan ,biarlah menjadi cermin dan gambaran  anak  anak kami yg mencari masa depan mereka,❤","Timah kasih untuk kisah nyata hidup yg di sampaikan ,biarlah menjadi cermin dan gambaran  anak  anak kami yg mencari masa depan mereka,<Hati Merah>",negatif
❤🎉❤1❤1❤🎉❤utu,<Hati Merah>🎉<Hati Merah>1<Hati Merah>1<Hati Merah>🎉<Hati Merah>utu,negatif
"Sungguh terharu sekali, menhan luar biasa❤❤❤","Sungguh terharu sekali, menhan luar biasa<Hati Merah><Hati Merah><Hati Merah>",negatif
Assalamualaikum 🙏 yang ingin isj yang datangnya ada aku oke kita Ahmad Dhani,Assalamualaikum <Tangan Merapat Berdoa> yang ingin isj yang datangnya ada aku oke kita Ahmad Dhani,netral
Terharu mendengar kiash❤,Terharu mendengar kiash<Hati Merah>,negatif
"masallah bgtu mulia nya orang tua nya BPK nya tukang ojek bisa kuliahin anak nya terharu saya , semoga saya bisa kuliah kan anak"" saya walaupun saya ojek juga jadi sedih😢","masallah bgtu mulia nya orang tua nya BPK nya tukang ojek bisa kuliahin anak nya terharu saya , semoga saya bisa kuliah kan anak"" saya walaupun saya ojek juga jadi sedih<Wajah Menangis>",negatif
"❤# PresidenRIPrabowoSubianto
#SemogaSeluruhRakyatIndonesiaAdilMakmurDanSejahtera
#Semoga seluruh lulusan UNHAN INDONESIA  menjadi universitas yg membanggakan untuk kepentingan seluruh rakyat Indonesia & dunia...
#Smg Allah SWT meridhoiinya... Amin YRA 🤲🙏","<Hati Merah># PresidenRIPrabowoSubianto
#SemogaSeluruhRakyatIndonesiaAdilMakmurDanSejahtera
#Semoga seluruh lulusan UNHAN INDONESIA  menjadi universitas yg membanggakan untuk kepentingan seluruh rakyat Indonesia & dunia...
#Smg Allah SWT meridhoiinya... Amin YRA 🤲<Tangan Merapat Berdoa>",negatif
😭😭🙏 semoga Tuhan selalu bersama untuk menolong dan menuntun jalan bagimu🙏 Tuhan Yesus memberkati 😭🙏,<Wajah Menangis Kencang><Wajah Menangis Kencang><Tangan Merapat Berdoa> semoga Tuhan selalu bersama untuk menolong dan menuntun jalan bagimu<Tangan Merapat Berdoa> Tuhan Yesus memberkati <Wajah Menangis Kencang><Tangan Merapat Berdoa>,negatif
Luar biasa keinginan seorang ciptaan Tuhan terkabul karena Tuhan melihat hati yg ingin menjadi pelayan Tuhan🙏🏻,Luar biasa keinginan seorang ciptaan Tuhan terkabul karena Tuhan melihat hati yg ingin menjadi pelayan Tuhan<Tangan Merapat Berdoa>🏻,negatif
"Sya menangis bahagia,sukses kaka  jadi lah kebanggaan rakyat indonesi.trimaksih bapa prabowo .🙏","Sya menangis bahagia,sukses kaka  jadi lah kebanggaan rakyat indonesi.trimaksih bapa prabowo .<Tangan Merapat Berdoa>",negatif
Luar biasa bpk presiden ❤,Luar biasa bpk presiden <Hati Merah>,negatif
Semoga anaku seperti diri kka ❤😢😢😢😢🥰,Semoga anaku seperti diri kka <Hati Merah><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis>🥰,negatif
TUHAN sangat mmbrkti.... Sdh bersaksi untuk TUHAN🙏🙏🙏 Amin🙏🙏🙏,TUHAN sangat mmbrkti.... Sdh bersaksi untuk TUHAN<Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa> Amin<Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa>,negatif
Prabowo  skarang presiden lewat kesan ini presiden kita  membuat progran pendidikan gratis dn makanan gratis utk siswa 👍👍👍👍😇😇😇,Prabowo  skarang presiden lewat kesan ini presiden kita  membuat progran pendidikan gratis dn makanan gratis utk siswa <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Wajah Tersenyum Malaikat><Wajah Tersenyum Malaikat><Wajah Tersenyum Malaikat>,netral
Alhamdulilah🙏🤲😥,Alhamdulilah<Tangan Merapat Berdoa>🤲<Wajah Kecewa Tapi Lega>,negatif
"Hidup bpk bryan, hidup bapak bryan 😂","Hidup bpk bryan, hidup bapak bryan <Wajah Menangis Gembira>",netral
"Ini lah PR kami sebagai ortu, anak kami minta sekolah  di kesehatan tapi blm bisa menjawabnya ,dia dari kls 5 SD  udah cita²  sekolah di kesehatan tapi kami membayangkan berapa beratnya  biaya di kesehatan rasa takut putus di tengah jalan kalu mau ngambil bea siswa prestasi anak saya bukan anak yg berprerasi munkin adakah solusi lain. 🙏","Ini lah PR kami sebagai ortu, anak kami minta sekolah  di kesehatan tapi blm bisa menjawabnya ,dia dari kls 5 SD  udah cita²  sekolah di kesehatan tapi kami membayangkan berapa beratnya  biaya di kesehatan rasa takut putus di tengah jalan kalu mau ngambil bea siswa prestasi anak saya bukan anak yg berprerasi munkin adakah solusi lain. <Tangan Merapat Berdoa>",positif
Semoga jangan memberatkan biaya perobatan kepada orang susah ya dokter baik🙏,Semoga jangan memberatkan biaya perobatan kepada orang susah ya dokter baik<Tangan Merapat Berdoa>,negatif
"Alhamdulillah ,semoga menjadi Dokter yang menolong dan mengobati masyarakat tanpa membedakan-bedakan dari suatu kalangan🎉❤🎉","Alhamdulillah ,semoga menjadi Dokter yang menolong dan mengobati masyarakat tanpa membedakan-bedakan dari suatu kalangan🎉<Hati Merah>🎉",negatif
"Semoga ank saya bisa dpt biasiswa seperti ini...ammmin
Sehat sll pak Prabowo presidenku❤","Semoga ank saya bisa dpt biasiswa seperti ini...ammmin
Sehat sll pak Prabowo presidenku<Hati Merah>",netral
Negara harus hadir untuk putra/i terbaik bangsa ini ...?! 👍👍,Negara harus hadir untuk putra/i terbaik bangsa ini ...?! <Jempol Ke Atas><Jempol Ke Atas>,netral
😢😢❤❤❤ semangat yang luar biasa.,<Wajah Menangis><Wajah Menangis><Hati Merah><Hati Merah><Hati Merah> semangat yang luar biasa.,negatif
"Bagaimana caranya bisa kuliah dapat beasiswa di UNHAN  ?
Saya pingin banget Anak saya masuk ke sana, 2,5 tahun lagi anak saya lulus SMA, mohon pencerahannya 🙏🙏","Bagaimana caranya bisa kuliah dapat beasiswa di UNHAN  ?
Saya pingin banget Anak saya masuk ke sana, 2,5 tahun lagi anak saya lulus SMA, mohon pencerahannya <Tangan Merapat Berdoa><Tangan Merapat Berdoa>",netral
"Ini lho yg cerdas anak muda ,bukan kaya gibran si anak karbitan yg penuh pecitrssn😂","Ini lho yg cerdas anak muda ,bukan kaya gibran si anak karbitan yg penuh pecitrssn<Wajah Menangis Gembira>",positif
"😭😭😭
 Pak prabowo semoga sehat walafiat""
 Doaku cuman 1"" tetaplah menjadi anak indonesia yg selalu di cintai","<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>
 Pak prabowo semoga sehat walafiat""
 Doaku cuman 1"" tetaplah menjadi anak indonesia yg selalu di cintai",negatif
Saya terharu baget pak prabowo mantap❤❤,Saya terharu baget pak prabowo mantap<Hati Merah><Hati Merah>,negatif
Subhanaullah allah huakbar.😢😢😢,Subhanaullah allah huakbar.<Wajah Menangis><Wajah Menangis><Wajah Menangis>,negatif
Maju. Lah. Bangsa. Ku.  Berjuang. Lah. Demi. Bangsa. Mu.🇲🇨🇲🇨🇲🇨🇲🇨🙏💪👍,Maju. Lah. Bangsa. Ku.  Berjuang. Lah. Demi. Bangsa. Mu.🇲🇨🇲🇨🇲🇨🇲🇨<Tangan Merapat Berdoa><Otot Lengan Kuat><Jempol Ke Atas>,netral
Pemimpin yg hebat dan di kagumi masyarakat.luar biasa ..kami bangga pada mu bapak presiden🙏🙏❤️❤️❤️,Pemimpin yg hebat dan di kagumi masyarakat.luar biasa ..kami bangga pada mu bapak presiden<Tangan Merapat Berdoa><Tangan Merapat Berdoa><Hati Merah>️<Hati Merah>️<Hati Merah>️,negatif
Masa .allah pak perabowo yg baik hati   ❤❤❤,Masa .allah pak perabowo yg baik hati   <Hati Merah><Hati Merah><Hati Merah>,negatif
"😂😂😂 terimah ksih bpk jokowi dan bpk prabowo karna programmu kami orang yg miskin bisa😂😂😂😂😂 menyekolahkn anak""ku  dan 1 sdh menadi sarjana dan sisa anak ketiga kami akan selesai dibln februari😢😢😢 2024   di unsrat manado jurusan tehnik elektro dri makassar kel melayu baru kec wajo dan tdk lupa terima kadih ya Allah karna engkau telah memilih presiden yg mau membangun orang yg tdk mampu amin ya Allah","<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> terimah ksih bpk jokowi dan bpk prabowo karna programmu kami orang yg miskin bisa<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> menyekolahkn anak""ku  dan 1 sdh menadi sarjana dan sisa anak ketiga kami akan selesai dibln februari<Wajah Menangis><Wajah Menangis><Wajah Menangis> 2024   di unsrat manado jurusan tehnik elektro dri makassar kel melayu baru kec wajo dan tdk lupa terima kadih ya Allah karna engkau telah memilih presiden yg mau membangun orang yg tdk mampu amin ya Allah",negatif
"Assalamualaikum bpk brabowo. Mudah""an bpk shat sllu. 
Maf pa.
Saya cuma mau mnta sesuatu dari bpk
Bisa ga bpk dirikan prusahaan buat mmperkejakan pengangguran .
Krna di indonesia bnyak orang"" mnganggur krna mereka tida punya ijasah   buat mlamar krja pak. 
Trima kasih pak. 🙏🙏","Assalamualaikum bpk brabowo. Mudah""an bpk shat sllu. 
Maf pa.
Saya cuma mau mnta sesuatu dari bpk
Bisa ga bpk dirikan prusahaan buat mmperkejakan pengangguran .
Krna di indonesia bnyak orang"" mnganggur krna mereka tida punya ijasah   buat mlamar krja pak. 
Trima kasih pak. <Tangan Merapat Berdoa><Tangan Merapat Berdoa>",netral
🙏😭😭😭❤️💪👍👍👍🥰🇧🇭🤭,<Tangan Merapat Berdoa><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Hati Merah>️<Otot Lengan Kuat><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>🥰🇧🇭🤭,negatif
❤ Alhamdulillah semoga bermanfaat dan barokah untuk semuanya Aamiin maturnuwun ❤,<Hati Merah> Alhamdulillah semoga bermanfaat dan barokah untuk semuanya Aamiin maturnuwun <Hati Merah>,negatif
Pak prabowo presiden ku❤❤❤,Pak prabowo presiden ku<Hati Merah><Hati Merah><Hati Merah>,netral
Asalammualaekum wbt...semoga bp persiden prabowo benar2 bisa membangun indonesia maju dan makmur juga semua rakyat benar2 bisa maju adil makmur sejahtera selamanya???❤❤❤,Asalammualaekum wbt...semoga bp persiden prabowo benar2 bisa membangun indonesia maju dan makmur juga semua rakyat benar2 bisa maju adil makmur sejahtera selamanya???<Hati Merah><Hati Merah><Hati Merah>,negatif
Presidenku luar biasa😢😢😢😊😊😊,Presidenku luar biasa<Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
"Masya. Alloh Terharu ...
Sekali ❤❤❤❤","Masya. Alloh Terharu ...
Sekali <Hati Merah><Hati Merah><Hati Merah><Hati Merah>",negatif
Alhamdulilah adik semangat ya amin sukses👍,Alhamdulilah adik semangat ya amin sukses<Jempol Ke Atas>,negatif
"KAK, ANAK SIBAPAK JUGA MAU KE EROPA, NGEJAR KEDOKTERAN NYA DISANA , BAGAI MANA MENURUT KK ?.. KEBETULAN SEBELUM KE EROPA, IA KERJA DI TAHPID NGUMPULIN BIAYA 🙏 AAMIIN, SURUH MANDIRI , MENCARI PERSAINGAN SEHAT DI NEGARA NYA, DAN IKUT SEMINAR 2+ TENTANG EROPA NANTI KALO ILMUNYA DAPAT , GABUNG DOONG. MAKASIH ( SEKALIAN BARANGKALI ADA SEDIKIT MODAL DARI PEMERINTAH UNTUK BERANGKAT KE EROPA, KARENA DI EROPA  BELAJAR DITANGGUNG PEMERINTAH GRATIS ) 😗","KAK, ANAK SIBAPAK JUGA MAU KE EROPA, NGEJAR KEDOKTERAN NYA DISANA , BAGAI MANA MENURUT KK ?.. KEBETULAN SEBELUM KE EROPA, IA KERJA DI TAHPID NGUMPULIN BIAYA <Tangan Merapat Berdoa> AAMIIN, SURUH MANDIRI , MENCARI PERSAINGAN SEHAT DI NEGARA NYA, DAN IKUT SEMINAR 2+ TENTANG EROPA NANTI KALO ILMUNYA DAPAT , GABUNG DOONG. MAKASIH ( SEKALIAN BARANGKALI ADA SEDIKIT MODAL DARI PEMERINTAH UNTUK BERANGKAT KE EROPA, KARENA DI EROPA  BELAJAR DITANGGUNG PEMERINTAH GRATIS ) <Wajah Mencium>",negatif
